Name,Year,NV,Produced by,Country,Grape,Alcohol level,Wine style,Wine colour,IWC Points,Trophies,Tasting Notes,Wine Image,Medals,Detail Link
Mora Pinot Noir,2023.0,False,Mora Wines,"Central Otago, New Zealand",Pinot Noir,13.5%,Still,Red,96,['Central Otago Pinot Noir Trophy'],"This has beautiful aromas of sweet, black cherries, with raspberry notes and a hint of olive  savourieness. The palate is ripe but balanced with beautifully layered fruit and good sturcture.",images/wine_images/IWC/wine/2025/zoom/1631.jpg,"['images/medals/IWC/2025/Gold_thumb.png', 'images/medals/IWC/2025/Trophy_thumb.png']",https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193376
Vernaccia Valle del Tirso Igt Sa Crannatza de Silviu Cata,,True,Silvio Carta Srl,"Sardinia, Italy",Vernaccia di Oristano,18.5%,Fortified,White,95,[],"Golden hue, bone dry fortified wine with saline minerality and a nutty iodine character on the complex palate. tangy food wine.",images/wine_images/IWC/wine/2025/zoom/771.jpg,['images/medals/IWC/2025/Gold_thumb.png'],https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193378
Gladysdale Chardonnay,2021.0,False,Santolin Wines,"Victoria, Australia",Chardonnay,13.0%,Still,White,95,[],"Flinty notes on the nose with lots of fruit - yellow peach, melon, nashi pear. Concentrated with lovely nutty complexity and lemony acid persistence",images/wine_images/IWC/wine/2025/zoom/421.jpg,['images/medals/IWC/2025/Gold_thumb.png'],https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193415
Trama Pinot Noir,2023.0,False,Viña Undurraga,"San Antonio Valley, Chile",Pinot Noir,13.0%,Still,Red,95,[],"Intense red berry attack, a bright and lively glassful with cranberry appeal. Juicy forward style with pleasant grip from balanced tannins.",images/wine_images/IWC/wine/2025/zoom/1585.jpg,['images/medals/IWC/2025/Gold_thumb.png'],https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193433
Altazor,2022.0,False,Viña Undurraga,"Maipo Valley, Chile","Carmenere, Carignan, Cabernet Sauvignon",14.5%,Still,Red,96,"['Maipo Valley Cabernet blend Trophy,  Chilean Red Trophy']","A classic Maipo Valley expression showing strength and high-altitude freshness. Dried herbs, plum and damson lead to a long finish with sinewy tannins and gripping acidity for structure and lift.",images/wine_images/IWC/wine/2025/zoom/105.jpg,"['images/medals/IWC/2025/Gold_thumb.png', 'images/medals/IWC/2025/Trophy_thumb.png']",https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193435
Granito Semillón,2023.0,False,Bouchon,"Maule Valley, Chile",Sémillon,13.5%,Still,White,95,[],"Lovely, complex nose with bright lemon, nutty aromas, clove, mince and some wild flower notes. Palate has ripe fruit and a rich style.",images/wine_images/IWC/wine/2025/zoom/2636.jpg,['images/medals/IWC/2025/Gold_thumb.png'],https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193456
Gevrey Chambertin,2022.0,False,SAS Boyer - de Bar,"Burgundy, France",Pinot Noir,13.0%,Still,Red,95,[],"Charming wild strawberries, velvety, with hints of chocolate and leather, textured soft tanninsbalanced by elegant fruit.",images/wine_images/IWC/wine/2025/zoom/1592.jpg,['images/medals/IWC/2025/Gold_thumb.png'],https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193468
D Block Shingleback Reserve McLaren Vale Shiraz,2022.0,False,Paragon Wine Estates,"South Australia, Australia",Shiraz,14.5%,Still,Red,96,['McLaren Vale Shiraz Trophy'],"Creamy blueberry aromas, minty eucalyptus and dark berries with harmonious silky, integrated tannins. Wonderful example of how McLaren Vale can give you all the nice ripe blackberry and blueberry, firm and great.",images/wine_images/IWC/wine/2025/zoom/2842.jpg,"['images/medals/IWC/2025/Gold_thumb.png', 'images/medals/IWC/2025/Trophy_thumb.png']",https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193543
McGuigan Genus 4 Riesling,2008.0,False,Australian Vintage Limited,"South Australia, Australia",Riesling,12.0%,Still,White,95,[],"expressive preserved lemon, apple blossom honey, toast, extraordinarily complex, balance, length, freshness and harmony, just stunning!",images/wine_images/IWC/wine/2025/zoom/578.jpg,['images/medals/IWC/2025/Gold_thumb.png'],https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193544
McGuigan Bin 9000 Semillon,2017.0,False,Australian Vintage Limited,"New South Wales, Australia",Sémillon,11.0%,Still,White,96,"['Hunter Valley Semillon Trophy,  Australian Semillon Trophy']","This mature Hunter Semillon has amazing aromatics of toast, spice, lovely mandarin and lime. The palate is bright and linear with amazing focus and a hint of creaminess, along with citrus pith and mandarin. Lovely weight and texture.",images/wine_images/IWC/wine/2025/zoom/2595.jpg,"['images/medals/IWC/2025/Gold_thumb.png', 'images/medals/IWC/2025/Trophy_thumb.png']",https://www.internationalwinechallenge.com/canopy/beverage_details?wid=193549
